cod_ibge,municipio,sexo,idade,populacao
2301208,Aracoiaba - CE,Total,90 a 94 anos,110.0
2301208,Aracoiaba - CE,Total,95 a 99 anos,44.0
2301208,Aracoiaba - CE,Total,100 anos ou mais,4.0
2301257,Ararendá - CE,Total,Total,11096.0
2301257,Ararendá - CE,Total,0 a 4 anos,746.0
2301257,Ararendá - CE,Total,5 a 9 anos,729.0
2301257,Ararendá - CE,Total,10 a 14 anos,819.0
2301257,Ararendá - CE,Total,15 a 19 anos,906.0
2301257,Ararendá - CE,Total,20 a 24 anos,837.0
2301257,Ararendá - CE,Total,25 a 29 anos,758.0
2301257,Ararendá - CE,Total,30 a 34 anos,736.0
2301257,Ararendá - CE,Total,35 a 39 anos,774.0
2301257,Ararendá - CE,Total,40 a 44 anos,798.0
2301257,Ararendá - CE,Total,45 a 49 anos,675.0
2301257,Ararendá - CE,Total,50 a 54 anos,666.0
2301257,Ararendá - CE,Total,55 a 59 anos,652.0
2301257,Ararendá - CE,Total,60 a 64 anos,515.0
2301257,Ararendá - CE,Total,65 a 69 anos,474.0
2301257,Ararendá - CE,Total,70 a 74 anos,382.0
2301257,Ararendá - CE,Total,75 a 79 anos,247.0
2301257,Ararendá - CE,Total,80 a 84 anos,206.0
2301257,Ararendá - CE,Total,85 a 89 anos,98.0
2301257,Ararendá - CE,Total,90 a 94 anos,50.0
2301257,Ararendá - CE,Total,95 a 99 anos,23.0
2301257,Ararendá - CE,Total,100 anos ou mais,5.0
2301307,Araripe - CE,Total,Total,19783.0
2301307,Araripe - CE,Total,0 a 4 anos,1502.0
2301307,Araripe - CE,Total,5 a 9 anos,1519.0
2301307,Araripe - CE,Total,10 a 14 anos,1646.0
2301307,Araripe - CE,Total,15 a 19 anos,1758.0
2301307,Araripe - CE,Total,20 a 24 anos,1520.0
2301307,Araripe - CE,Total,25 a 29 anos,1431.0
2301307,Araripe - CE,Total,30 a 34 anos,1427.0
2301307,Araripe - CE,Total,35 a 39 anos,1376.0
2301307,Araripe - CE,Total,40 a 44 anos,1366.0
2301307,Araripe - CE,Total,45 a 49 anos,1223.0
2301307,Araripe - CE,Total,50 a 54 anos,1078.0
2301307,Araripe - CE,Total,55 a 59 anos,983.0
2301307,Araripe - CE,Total,60 a 64 anos,776.0
2301307,Araripe - CE,Total,65 a 69 anos,604.0
2301307,Araripe - CE,Total,70 a 74 anos,559.0
2301307,Araripe - CE,Total,75 a 79 anos,425.0
2301307,Araripe - CE,Total,80 a 84 anos,329.0
2301307,Araripe - CE,Total,85 a 89 anos,166.0
2301307,Araripe - CE,Total,90 a 94 anos,74.0
2301307,Araripe - CE,Total,95 a 99 anos,18.0
2301307,Araripe - CE,Total,100 anos ou mais,3.0
2301406,Aratuba - CE,Total,Total,11224.0
2301406,Aratuba - CE,Total,0 a 4 anos,750.0
2301406,Aratuba - CE,Total,5 a 9 anos,827.0
2301406,Aratuba - CE,Total,10 a 14 anos,816.0
2301406,Aratuba - CE,Total,15 a 19 anos,904.0
2301406,Aratuba - CE,Total,20 a 24 anos,968.0
2301406,Aratuba - CE,Total,25 a 29 anos,929.0
2301406,Aratuba - CE,Total,30 a 34 anos,820.0
2301406,Aratuba - CE,Total,35 a 39 anos,888.0
2301406,Aratuba - CE,Total,40 a 44 anos,752.0
2301406,Aratuba - CE,Total,45 a 49 anos,685.0
2301406,Aratuba - CE,Total,50 a 54 anos,580.0
2301406,Aratuba - CE,Total,55 a 59 anos,566.0
2301406,Aratuba - CE,Total,60 a 64 anos,529.0
2301406,Aratuba - CE,Total,65 a 69 anos,379.0
2301406,Aratuba - CE,Total,70 a 74 anos,297.0
2301406,Aratuba - CE,Total,75 a 79 anos,225.0
2301406,Aratuba - CE,Total,80 a 84 anos,154.0
2301406,Aratuba - CE,Total,85 a 89 anos,81.0
2301406,Aratuba - CE,Total,90 a 94 anos,58.0
2301406,Aratuba - CE,Total,95 a 99 anos,14.0
2301406,Aratuba - CE,Total,100 anos ou mais,2.0
2301505,Arneiroz - CE,Total,Total,7429.0
2301505,Arneiroz - CE,Total,0 a 4 anos,491.0
2301505,Arneiroz - CE,Total,5 a 9 anos,491.0
