NC;NN;D1C;D1N;D2C;D2N;D3C;D3N;D4C;D4N;D5C;D5N;D6C;D6N;MC;MN;V
Nível Territorial (Código);Nível Territorial;Brasil, Unidade da Federação e Município (Código);Brasil, Unidade da Federação e Município;Variável (Código);Variável;Ano (Código);Ano;Sexo (Código);Sexo;Idade (Código);Idade;Forma de declaração da idade (Código);Forma de declaração da idade;Unidade de Medida (Código);Unidade de Medida;Valor
6;Município;2300101;Abaiara - CE;93;População residente;2022;2022;5;Mulheres;93084;5 a 9 anos;113635;Total;45;Pessoas;355
6;Município;2300101;Abaiara - CE;93;População residente;2022;2022;5;Mulheres;93085;10 a 14 anos;113635;Total;45;Pessoas;370
6;Município;2300101;Abaiara - CE;93;População residente;2022;2022;5;Mulheres;93086;15 a 19 anos;113635;Total;45;Pessoas;377
6;Município;2300101;Abaiara - CE;93;População residente;2022;2022;5;Mulheres;93087;20 a 24 anos;113635;Total;45;Pessoas;392
6;Município;2300101;Abaiara - CE;93;População residente;2022;2022;5;Mulheres;93088;25 a 29 anos;113635;Total;45;Pessoas;432
6;Município;2300101;Abaiara - CE;93;População residente;2022;2022;5;Mulheres;93089;30 a 34 anos;113635;Total;45;Pessoas;371
6;Município;2300101;Abaiara - CE;93;População residente;2022;2022;5;Mulheres;93090;35 a 39 anos;113635;Total;45;Pessoas;393
6;Município;2300101;Abaiara - CE;93;População residente;2022;2022;5;Mulheres;93091;40 a 44 anos;113635;Total;45;Pessoas;344
6;Município;2300101;Abaiara - CE;93;População residente;2022;2022;5;Mulheres;93092;45 a 49 anos;113635;Total;45;Pessoas;319
6;Município;2300101;Abaiara - CE;93;População residente;2022;2022;5;Mulheres;93093;50 a 54 anos;113635;Total;45;Pessoas;283
6;Município;2300101;Abaiara - CE;93;População residente;2022;2022;5;Mulheres;93094;55 a 59 anos;113635;Total;45;Pessoas;251
6;Município;2300101;Abaiara - CE;93;População residente;2022;2022;5;Mulheres;93095;60 a 64 anos;113635;Total;45;Pessoas;228
6;Município;2300101;Abaiara - CE;93;População residente;2022;2022;5;Mulheres;93096;65 a 69 anos;113635;Total;45;Pessoas;180
6;Município;2300101;Abaiara - CE;93;População residente;2022;2022;5;Mulheres;93097;70 a 74 anos;113635;Total;45;Pessoas;160
6;Município;2300101;Abaiara - CE;93;População residente;2022;2022;5;Mulheres;93098;75 a 79 anos;113635;Total;45;Pessoas;115
6;Município;2300101;Abaiara - CE;93;População residente;2022;2022;5;Mulheres;49108;80 a 84 anos;113635;Total;45;Pessoas;89
6;Município;2300101;Abaiara - CE;93;População residente;2022;2022;5;Mulheres;49109;85 a 89 anos;113635;Total;45;Pessoas;37
6;Município;2300101;Abaiara - CE;93;População residente;2022;2022;5;Mulheres;60040;90 a 94 anos;113635;Total;45;Pessoas;25
6;Município;2300101;Abaiara - CE;93;População residente;2022;2022;5;Mulheres;60041;95 a 99 anos;113635;Total;45;Pessoas;7
6;Município;2300101;Abaiara - CE;93;População residente;2022;2022;5;Mulheres;6653;100 anos ou mais;113635;Total;45;Pessoas;2
