NC;NN;D1C;D1N;D2C;D2N;D3C;D3N;MC;MN;V
Nível Territorial (Código);Nível Territorial;Brasil, Unidade da Federação e Município (Código);Brasil, Unidade da Federação e Município;Variável (Código);Variável;Ano (Código);Ano;Unidade de Medida (Código);Unidade de Medida;Valor
6;Município;2301851;Banabuiú - CE;9324;População residente estimada;2024;2024;45;Pessoas;17654
6;Município;2301901;Barbalha - CE;9324;População residente estimada;2014;2014;45;Pessoas;58347
6;Município;2301901;Barbalha - CE;9324;População residente estimada;2015;2015;45;Pessoas;58855
6;Município;2301901;Barbalha - CE;9324;População residente estimada;2016;2016;45;Pessoas;59343
6;Município;2301901;Barbalha - CE;9324;População residente estimada;2017;2017;45;Pessoas;59811
6;Município;2301901;Barbalha - CE;9324;População residente estimada;2018;2018;45;Pessoas;60155
6;Município;2301901;Barbalha - CE;9324;População residente estimada;2019;2019;45;Pessoas;60781
6;Município;2301901;Barbalha - CE;9324;População residente estimada;2020;2020;45;Pessoas;61228
6;Município;2301901;Barbalha - CE;9324;População residente estimada;2021;2021;45;Pessoas;61662
6;Município;2301901;Barbalha - CE;9324;População residente estimada;2024;2024;45;Pessoas;80217
6;Município;2301950;Barreira - CE;9324;População residente estimada;2014;2014;45;Pessoas;20532
6;Município;2301950;Barreira - CE;9324;População residente estimada;2015;2015;45;Pessoas;20687
6;Município;2301950;Barreira - CE;9324;População residente estimada;2016;2016;45;Pessoas;20835
6;Município;2301950;Barreira - CE;9324;População residente estimada;2017;2017;45;Pessoas;20978
6;Município;2301950;Barreira - CE;9324;População residente estimada;2018;2018;45;Pessoas;22362
6;Município;2301950;Barreira - CE;9324;População residente estimada;2019;2019;45;Pessoas;22425
6;Município;2301950;Barreira - CE;9324;População residente estimada;2020;2020;45;Pessoas;22573
6;Município;2301950;Barreira - CE;9324;População residente estimada;2021;2021;45;Pessoas;22715
6;Município;2301950;Barreira - CE;9324;População residente estimada;2024;2024;45;Pessoas;23351
6;Município;2302008;Barro - CE;9324;População residente estimada;2014;2014;45;Pessoas;22193
6;Município;2302008;Barro - CE;9324;População residente estimada;2015;2015;45;Pessoas;22279
6;Município;2302008;Barro - CE;9324;População residente estimada;2016;2016;45;Pessoas;22361
6;Município;2302008;Barro - CE;9324;População residente estimada;2017;2017;45;Pessoas;22440
6;Município;2302008;Barro - CE;9324;População residente estimada;2018;2018;45;Pessoas;22593
6;Município;2302008;Barro - CE;9324;População residente estimada;2019;2019;45;Pessoas;22680
6;Município;2302008;Barro - CE;9324;População residente estimada;2020;2020;45;Pessoas;22758
6;Município;2302008;Barro - CE;9324;População residente estimada;2021;2021;45;Pessoas;22834
6;Município;2302008;Barro - CE;9324;População residente estimada;2024;2024;45;Pessoas;19669
6;Município;2302057;Barroquinha - CE;9324;População residente estimada;2014;2014;45;Pessoas;14800
6;Município;2302057;Barroquinha - CE;9324;População residente estimada;2015;2015;45;Pessoas;14828
6;Município;2302057;Barroquinha - CE;9324;População residente estimada;2016;2016;45;Pessoas;14854
6;Município;2302057;Barroquinha - CE;9324;População residente estimada;2017;2017;45;Pessoas;14880
6;Município;2302057;Barroquinha - CE;9324;População residente estimada;2018;2018;45;Pessoas;14989
6;Município;2302057;Barroquinha - CE;9324;População residente estimada;2019;2019;45;Pessoas;15017
6;Município;2302057;Barroquinha - CE;9324;População residente estimada;2020;2020;45;Pessoas;15044
6;Município;2302057;Barroquinha - CE;9324;População residente estimada;2021;2021;45;Pessoas;15069
6;Município;2302057;Barroquinha - CE;9324;População residente estimada;2024;2024;45;Pessoas;14977
6;Município;2302107;Baturité - CE;9324;População residente estimada;2014;2014;45;Pessoas;34735
6;Município;2302107;Baturité - CE;9324;População residente estimada;2015;2015;45;Pessoas;34949
6;Município;2302107;Baturité - CE;9324;População residente estimada;2016;2016;45;Pessoas;35154
6;Município;2302107;Baturité - CE;9324;População residente estimada;2017;2017;45;Pessoas;35351
6;Município;2302107;Baturité - CE;9324;População residente estimada;2018;2018;45;Pessoas;35575
6;Município;2302107;Baturité - CE;9324;População residente estimada;2019;2019;45;Pessoas;35750
6;Município;2302107;Baturité - CE;9324;População residente estimada;2020;2020;45;Pessoas;35941
6;Município;2302107;Baturité - CE;9324;População residente estimada;2021;2021;45;Pessoas;36127
6;Município;2302107;Baturité - CE;9324;População residente estimada;2024;2024;45;Pessoas;36978
6;Município;2302206;Beberibe - CE;9324;População residente estimada;2014;2014;45;Pessoas;51885
6;Município;2302206;Beberibe - CE;9324;População residente estimada;2015;2015;45;Pessoas;52310
6;Município;2302206;Beberibe - CE;9324;População residente estimada;2016;2016;45;Pessoas;52719
6;Município;2302206;Beberibe - CE;9324;População residente estimada;2017;2017;45;Pessoas;53110
6;Município;2302206;Beberibe - CE;9324;População residente estimada;2018;2018;45;Pessoas;53421
6;Município;2302206;Beberibe - CE;9324;População residente estimada;2019;2019;45;Pessoas;53573
6;Município;2302206;Beberibe - CE;9324;População residente estimada;2020;2020;45;Pessoas;53949
6;Município;2302206;Beberibe - CE;9324;População residente estimada;2021;2021;45;Pessoas;54315
6;Município;2302206;Beberibe - CE;9324;População residente estimada;2024;2024;45;Pessoas;55666
6;Município;2302305;Bela Cruz - CE;9324;População residente estimada;2014;2014;45;Pessoas;31956
6;Município;2302305;Bela Cruz - CE;9324;População residente estimada;2015;2015;45;Pessoas;32103
6;Município;2302305;Bela Cruz - CE;9324;População residente estimada;2016;2016;45;Pessoas;32243
6;Município;2302305;Bela Cruz - CE;9324;População residente estimada;2017;2017;45;Pessoas;32378
6;Município;2302305;Bela Cruz - CE;9324;População residente estimada;2018;2018;45;Pessoas;32593
6;Município;2302305;Bela Cruz - CE;9324;População residente estimada;2019;2019;45;Pessoas;32591
6;Município;2302305;Bela Cruz - CE;9324;População residente estimada;2020;2020;45;Pessoas;32722
6;Município;2302305;Bela Cruz - CE;9324;População residente estimada;2021;2021;45;Pessoas;32851
6;Município;2302305;Bela Cruz - CE;9324;População residente estimada;2024;2024;45;Pessoas;34441
6;Município;2302404;Boa Viagem - CE;9324;População residente estimada;2014;2014;45;Pessoas;53725
6;Município;2302404;Boa Viagem - CE;9324;População residente estimada;2015;2015;45;Pessoas;53838
6;Município;2302404;Boa Viagem - CE;9324;População residente estimada;2016;2016;45;Pessoas;53945
6;Município;2302404;Boa Viagem - CE;9324;População residente estimada;2017;2017;45;Pessoas;54049
6;Município;2302404;Boa Viagem - CE;9324;População residente estimada;2018;2018;45;Pessoas;54440
6;Município;2302404;Boa Viagem - CE;9324;População residente estimada;2019;2019;45;Pessoas;54470
6;Município;2302404;Boa Viagem - CE;9324;População residente estimada;2020;2020;45;Pessoas;54577
6;Município;2302404;Boa Viagem - CE;9324;População residente estimada;2021;2021;45;Pessoas;54680
6;Município;2302404;Boa Viagem - CE;9324;População residente estimada;2024;2024;45;Pessoas;52169
